a,b,pearson,spearman,jaccard_top1
Q0_flex_bands|ols|adj,Q0_flex_bands|wls_n|adj,0.9858376051502608,0.9844467136523006,0.625615763546798
Q0_flex_bands|ols|adj,Q0_flex_year|gls_eff|adj,0.9700275644072419,0.9603588781184346,0.5789473684210527
Q0_flex_bands|ols|adj,Q0_flex_year|ols|adj,0.9690622169529772,0.9584637621286598,0.5789473684210527
Q0_flex_bands|ols|adj,Q0_flex_year|wls_n|adj,0.9608819241581776,0.9531494369003006,0.45374449339207046
Q0_flex_bands|ols|adj,Q0_linear|ols|adj,0.9343719901538244,0.9193044345950088,0.30434782608695654
Q0_flex_bands|ols|adj,Q0_linear|wls_n|adj,0.9274409185035015,0.9158258763594509,0.24060150375939848
Q0_flex_bands|ols|adj,Q1_core|gls_eff|adj,0.7776256786718796,0.71865524487941,0.13402061855670103
Q0_flex_bands|ols|adj,Q1_core|ols|adj,0.7763099533099589,0.717211056515228,0.13793103448275862
Q0_flex_bands|ols|adj,Q1_core|wls_n|adj,0.844690614618348,0.8048289345618101,0.13793103448275862
Q0_flex_bands|ols|adj,Q2_structure|ols|adj,0.7709836745641778,0.7111209819791255,0.12244897959183673
Q0_flex_bands|ols|adj,Q2_structure|wls_n|adj,0.837974994419273,0.7973726433457375,0.14186851211072665
Q0_flex_bands|ols|adj,Q3_categories|gls_eff|adj,0.7493441736528423,0.6913015912202167,0.12627986348122866
Q0_flex_bands|ols|adj,Q3_categories|ols|adj,0.7481287425209193,0.6895093887976785,0.12244897959183673
Q0_flex_bands|ols|adj,Q3_categories|wls_n|adj,0.802024371343129,0.7572166720627922,0.13013698630136986
Q0_flex_bands|ols|adj,Q3b_flex_volume|ols|adj,0.7595200777554966,0.7025394905444239,0.14583333333333334
Q0_flex_bands|ols|adj,Q3b_flex_volume|wls_n|adj,0.8150207590188107,0.7687785200327625,0.15384615384615385
Q0_flex_bands|ols|adj,Q4_mechanics|ols|adj,0.7347121015464535,0.67839533303802,0.1111111111111111
Q0_flex_bands|ols|adj,Q4_mechanics|wls_n|adj,0.7816397607948528,0.7357193576276708,0.11486486486486487
Q0_flex_bands|wls_n|adj,Q0_flex_year|gls_eff|adj,0.9616558887583582,0.9515622103980514,0.5639810426540285
Q0_flex_bands|wls_n|adj,Q0_flex_year|ols|adj,0.9596099606780771,0.9482838677235751,0.5639810426540285
Q0_flex_bands|wls_n|adj,Q0_flex_year|wls_n|adj,0.9774240791194359,0.9713553609852458,0.5942028985507246
Q0_flex_bands|wls_n|adj,Q0_linear|ols|adj,0.9677231268807349,0.9584487278964378,0.4732142857142857
Q0_flex_bands|wls_n|adj,Q0_linear|wls_n|adj,0.9673072070872862,0.9615954997860214,0.41025641025641024
